,PHOT,WTOF,WTON,HROR
2015-01-09 04:00:00+00:00,0,0.230594777,0.715334644,0.287275907
2015-01-09 05:00:00+00:00,0,0.145232893,0.74663514,0.288314386
2015-01-09 06:00:00+00:00,0,0.11363016,0.768258544,0.289188894
2015-01-09 07:00:00+00:00,0.001461061,0.112475558,0.790066248,0.29110188
2015-01-09 08:00:00+00:00,0.011286308,0.091457439,0.811086535,0.293561434
2015-01-09 09:00:00+00:00,0.026104483,0.107880081,0.812371098,0.295201137
2015-01-09 10:00:00+00:00,0.03749107,0.082723645,0.794953724,0.29733275
2015-01-09 11:00:00+00:00,0.039501471,0.110000956,0.801356845,0.29733275
2015-01-09 12:00:00+00:00,0.033100907,0.128131811,0.80808826,0.29716878
2015-01-09 13:00:00+00:00,0.02332935,0.142115509,0.81566809,0.299519021
2015-01-09 14:00:00+00:00,0.009422839,0.257211476,0.814899688,0.299901618
2015-01-09 15:00:00+00:00,0.00123314,0.280033735,0.815561391,0.298535199
2015-01-09 16:00:00+00:00,0,0.28814463,0.80782731,0.297387407
2015-01-09 17:00:00+00:00,0,0.285688569,0.778758708,0.297606034
2015-01-09 18:00:00+00:00,0,0.288372229,0.744750482,0.297278094
2015-01-09 19:00:00+00:00,0,0.273926411,0.703846033,0.298863139
2015-01-09 20:00:00+00:00,0,0.221517152,0.646917968,0.299628334
2015-01-09 21:00:00+00:00,0,0.168975321,0.592960606,0.299300394
2015-01-09 22:00:00+00:00,0,0.213337682,0.566769571,0.300557499
2015-01-09 23:00:00+00:00,0,0.263685172,0.536138628,0.306077831
2015-01-10 00:00:00+00:00,0,0.278639158,0.540148983,0.31586139
2015-01-10 01:00:00+00:00,0,0.285886948,0.549406935,0.324442501
2015-01-10 02:00:00+00:00,0,0.284146515,0.587372769,0.338489287
2015-01-10 03:00:00+00:00,0,0.277129231,0.62379841,0.354066463
2015-01-10 04:00:00+00:00,0,0.278099556,0.653347421,0.363631395
2015-01-10 05:00:00+00:00,0,0.270228888,0.704822942,0.375327941
2015-01-10 06:00:00+00:00,0,0.168537799,0.74206026,0.384783559
2015-01-10 07:00:00+00:00,0.001454174,0.115198415,0.770355052,0.386477919
2015-01-10 08:00:00+00:00,0.014722601,0.103639791,0.779295134,0.389210756
2015-01-10 09:00:00+00:00,0.05407865,0.093223561,0.790540491,0.384838216
2015-01-10 10:00:00+00:00,0.113423862,0.091218631,0.8049052,0.378989943
2015-01-10 11:00:00+00:00,0.141467504,0.137811292,0.80033345,0.374180149
2015-01-10 12:00:00+00:00,0.121698545,0.121553672,0.790371031,0.368113249
2015-01-10 13:00:00+00:00,0.073932778,0.073808017,0.788255428,0.366090949
2015-01-10 14:00:00+00:00,0.025758742,0.082776486,0.777349322,0.368441189
2015-01-10 15:00:00+00:00,0.002285039,0.067809929,0.779269974,0.369916922
2015-01-10 16:00:00+00:00,0,0.068372805,0.774548241,0.3709554
